ip,status,hostname,mac,vendor,latency_ms,ttl,os_hint,open_ports,scanned_at
10.80.80.45,alive,Sharvik-Laptop,,,1.0,128,Windows,"135, 139, 445",2026-04-09T17:33:31.068335
10.80.80.4,dead,,,,-1.0,-1,,,2026-04-09T17:33:30.961378
10.80.80.3,dead,,,,-1.0,-1,,,2026-04-09T17:33:30.960739
10.80.80.8,dead,,,,-1.0,-1,,,2026-04-09T17:33:30.965240
10.80.80.2,dead,,,,-1.0,-1,,,2026-04-09T17:33:30.960210
10.80.80.9,dead,,,,-1.0,-1,,,2026-04-09T17:33:30.966203
10.80.80.11,dead,,,,-1.0,-1,,,2026-04-09T17:33:30.968310
10.80.80.10,dead,,,,-1.0,-1,,,2026-04-09T17:33:30.967185
10.80.80.13,dead,,,,-1.0,-1,,,2026-04-09T17:33:30.971597
10.80.80.16,dead,,,,-1.0,-1,,,2026-04-09T17:33:30.982396
10.80.80.14,dead,,,,-1.0,-1,,,2026-04-09T17:33:30.973999
10.80.80.12,dead,,,,-1.0,-1,,,2026-04-09T17:33:30.969993
10.80.80.26,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.014618
10.80.80.15,dead,,,,-1.0,-1,,,2026-04-09T17:33:30.980540
10.80.80.17,dead,,,,-1.0,-1,,,2026-04-09T17:33:30.988375
10.80.80.33,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.034497
10.80.80.32,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.030173
10.80.80.36,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.042234
10.80.80.28,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.020788
10.80.80.35,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.040277
10.80.80.50,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.073707
10.80.80.65,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.122884
10.80.80.42,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.050158
10.80.80.47,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.069467
10.80.80.22,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.002676
10.80.80.39,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.044489
10.80.80.55,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.086545
10.80.80.37,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.043344
10.80.80.57,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.101316
10.80.80.60,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.109212
10.80.80.78,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.149864
10.80.80.40,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.046243
10.80.80.54,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.079745
10.80.80.41,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.046869
10.80.80.52,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.075143
10.80.80.82,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.182194
10.80.80.74,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.144354
10.80.80.68,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.131702
10.80.80.49,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.072207
10.80.80.56,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.092493
10.80.80.81,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.179473
10.80.80.79,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.153051
10.80.80.89,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.188933
10.80.80.46,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.068832
